CustomerID,first_purchase,last_purchase,recency,frequency,monetary
CUST0245,"2022-01-28 23:00:00","2022-11-07 12:00:00",55,20,193788.14
CUST0464,"2022-01-14 12:00:00","2022-11-20 15:00:00",42,17,188706.84
CUST0013,"2022-01-05 11:00:00","2022-12-30 12:00:00",2,21,182215.88
CUST0342,"2022-01-10 09:00:00","2022-12-18 20:00:00",14,16,180208.28
CUST0228,"2022-01-11 00:00:00","2022-12-07 00:00:00",25,13,167066.48
CUST0028,"2022-03-08 03:00:00","2022-11-14 16:00:00",48,17,167021.12
CUST0294,"2022-02-11 20:00:00","2022-12-25 01:00:00",7,15,165451.86
CUST0120,"2022-02-09 03:00:00","2022-12-24 10:00:00",8,16,163601.90
CUST0014,"2022-01-14 08:00:00","2022-11-30 22:00:00",32,16,154358.68
CUST0008,"2022-02-07 01:00:00","2022-12-27 04:00:00",5,17,152810.84
