TransactionID,InvoiceNo,InvoiceDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,Description,Category,TotalPrice
1,INV03383,01-01-2022 01:00,CUST0150,PROD034,2,459.18,0,Product 34,Toys,918.36
2,INV01531,01-01-2022 02:00,CUST0163,PROD013,2,79.21,15,Product 13,Grocery,134.657
3,INV03904,01-01-2022 04:00,CUST0060,PROD033,1,36.22,10,Product 33,Toys,32.598
4,INV00729,01-01-2022 07:00,CUST0230,PROD033,2,437.73,15,Product 33,Toys,744.141
5,INV04255,01-01-2022 10:00,CUST0336,PROD031,2,202.61,10,Product 31,Home & Kitchen,364.698
6,INV02379,01-01-2022 11:00,CUST0234,PROD011,2,21.02,5,Product 11,Toys,39.938
7,INV03119,01-01-2022 11:00,CUST0352,PROD018,2,351.66,0,Product 18,Grocery,703.32
8,INV01507,01-01-2022 12:00,CUST0431,PROD034,2,86.74,15,Product 34,Toys,147.458
9,INV04394,01-01-2022 12:00,CUST0322,PROD001,1,62.45,5,Product 1,Toys,59.3275
10,INV00374,01-01-2022 16:00,CUST0262,PROD014,1,399.29,0,Product 14,Sports,399.29
11,INV02519,01-01-2022 18:00,CUST0310,PROD046,2,398.2,0,Product 46,Electronics,796.4
12,INV01822,01-01-2022 21:00,CUST0196,PROD024,1,437.24,10,Product 24,Clothing,393.516
13,INV02167,01-01-2022 22:00,CUST0047,PROD035,2,167.95,5,Product 35,Grocery,319.105
14,INV02745,02-01-2022 01:00,CUST0104,PROD029,4,179.56,0,Product 29,Electronics,718.24
15,INV02655,02-01-2022 02:00,CUST0077,PROD044,2,18.95,0,Product 44,Home & Kitchen,37.9
16,INV03959,02-01-2022 04:00,CUST0462,PROD003,2,149.22,5,Product 3,Home & Kitchen,283.518
17,INV04668,02-01-2022 04:00,CUST0060,PROD001,3,316.87,10,Product 1,Toys,855.549
18,INV01008,02-01-2022 08:00,CUST0018,PROD011,1,367.07,10,Product 11,Toys,330.363
19,INV00871,02-01-2022 12:00,CUST0148,PROD009,2,444.66,0,Product 9,Home & Kitchen,889.32
20,INV01342,02-01-2022 13:00,CUST0009,PROD045,2,318.6,0,Product 45,Sports,637.2
21,INV00879,02-01-2022 15:00,CUST0471,PROD012,1,40.37,5,Product 12,Home & Kitchen,38.3515
22,INV00013,02-01-2022 20:00,CUST0455,PROD013,4,489.62,0,Product 13,Grocery,1958.48
23,INV01525,02-01-2022 21:00,CUST0377,PROD007,3,330.25,0,Product 7,Home & Kitchen,990.75
24,INV01516,03-01-2022 00:00,CUST0426,PROD003,2,408.53,5,Product 3,Home & Kitchen,776.207
25,INV00186,03-01-2022 07:00,CUST0313,PROD045,4,221.44,20,Product 45,Sports,708.608
26,INV02741,03-01-2022 08:00,CUST0312,PROD042,2,302,0,Product 42,Home & Kitchen,604
27,INV04607,03-01-2022 10:00,CUST0035,PROD014,3,171.38,20,Product 14,Sports,411.312
28,INV01727,03-01-2022 12:00,CUST0252,PROD038,3,335.12,5,Product 38,Home & Kitchen,955.092
29,INV03134,03-01-2022 16:00,CUST0301,PROD042,1,13.92,20,Product 42,Home & Kitchen,11.136
30,INV03395,03-01-2022 17:00,CUST0059,PROD029,2,144.48,5,Product 29,Electronics,274.512
31,INV02810,03-01-2022 18:00,CUST0054,PROD004,1,105.02,0,Product 4,Sports,105.02
32,INV04684,03-01-2022 18:00,CUST0309,PROD046,2,45.35,10,Product 46,Electronics,81.63
33,INV00309,03-01-2022 18:00,CUST0054,PROD023,2,206.43,0,Product 23,Toys,412.86
34,INV03051,03-01-2022 19:00,CUST0363,PROD022,2,113.02,5,Product 22,Electronics,214.738
35,INV04036,03-01-2022 21:00,CUST0434,PROD008,1,473.39,15,Product 8,Home & Kitchen,402.3815
36,INV02041,03-01-2022 23:00,CUST0452,PROD040,3,89.83,0,Product 40,Toys,269.49
37,INV00458,03-01-2022 23:00,CUST0168,PROD047,2,118.55,0,Product 47,Clothing,237.1
38,INV00380,03-01-2022 23:00,CUST0403,PROD048,4,219.93,0,Product 48,Toys,879.72
39,INV01842,04-01-2022 01:00,CUST0143,PROD037,4,276.63,20,Product 37,Grocery,885.216
40,INV02395,04-01-2022 02:00,CUST0405,PROD031,4,98.09,0,Product 31,Home & Kitchen,392.36
41,INV03669,04-01-2022 03:00,CUST0489,PROD036,2,197.53,0,Product 36,Grocery,395.06
42,INV00941,04-01-2022 03:00,CUST0196,PROD006,4,387.88,0,Product 6,Clothing,1551.52
43,INV04659,04-01-2022 04:00,CUST0295,PROD034,3,453.34,0,Product 34,Toys,1360.02
44,INV01886,04-01-2022 06:00,CUST0168,PROD033,4,336.39,15,Product 33,Toys,1143.726
45,INV01828,04-01-2022 08:00,CUST0447,PROD003,3,61.93,20,Product 3,Home & Kitchen,148.632
46,INV01387,04-01-2022 08:00,CUST0193,PROD013,4,44.7,0,Product 13,Grocery,178.8
47,INV04772,04-01-2022 09:00,CUST0340,PROD023,3,377.12,0,Product 23,Toys,1131.36
48,INV03260,04-01-2022 15:00,CUST0101,PROD019,1,167.9,0,Product 19,Clothing,167.9
49,INV03467,04-01-2022 17:00,CUST0408,PROD046,4,305.23,10,Product 46,Electronics,1098.828
50,INV00280,04-01-2022 18:00,CUST0019,PROD025,2,341.71,0,Product 25,Grocery,683.42
51,INV04126,04-01-2022 19:00,CUST0252,PROD044,3,186.86,5,Product 44,Home & Kitchen,532.551
52,INV01099,04-01-2022 21:00,CUST0454,PROD015,4,134.05,0,Product 15,Clothing,536.2
53,INV01206,05-01-2022 00:00,CUST0283,PROD016,2,15.02,5,Product 16,Toys,28.538
54,INV03835,05-01-2022 02:00,CUST0494,PROD042,4,73.53,10,Product 42,Home & Kitchen,264.708
55,INV03117,05-01-2022 04:00,CUST0265,PROD037,1,45,0,Product 37,Grocery,45
56,INV02737,05-01-2022 08:00,CUST0340,PROD018,3,267.65,10,Product 18,Grocery,722.655
57,INV02200,05-01-2022 08:00,CUST0329,PROD038,1,121.2,20,Product 38,Home & Kitchen,96.96
58,INV04258,05-01-2022 09:00,CUST0468,PROD047,1,71.56,10,Product 47,Clothing,64.404
59,INV03516,05-01-2022 09:00,CUST0360,PROD001,4,67.32,15,Product 1,Toys,228.888
60,INV01022,05-01-2022 11:00,CUST0013,PROD006,1,274.87,5,Product 6,Clothing,261.1265
61,INV04918,05-01-2022 12:00,CUST0251,PROD035,4,439.9,10,Product 35,Grocery,1583.64
62,INV01536,05-01-2022 13:00,CUST0037,PROD031,4,239.01,0,Product 31,Home & Kitchen,956.04
63,INV00146,05-01-2022 21:00,CUST0265,PROD015,2,494.18,10,Product 15,Clothing,889.524
64,INV01335,05-01-2022 22:00,CUST0409,PROD036,1,185.34,15,Product 36,Grocery,157.539
65,INV04219,06-01-2022 00:00,CUST0303,PROD028,2,288.86,0,Product 28,Electronics,577.72
66,INV02776,06-01-2022 00:00,CUST0286,PROD040,4,402.41,15,Product 40,Toys,1368.194
67,INV00132,06-01-2022 02:00,CUST0350,PROD025,4,273.24,5,Product 25,Grocery,1038.312
68,INV02459,06-01-2022 04:00,CUST0029,PROD015,2,371.7,5,Product 15,Clothing,706.23
69,INV00721,06-01-2022 06:00,CUST0222,PROD004,3,24.14,5,Product 4,Sports,68.799
70,INV04967,06-01-2022 08:00,CUST0045,PROD032,1,91.94,10,Product 32,Clothing,82.746
71,INV03557,06-01-2022 09:00,CUST0404,PROD026,1,350.59,20,Product 26,Sports,280.472
72,INV01400,06-01-2022 12:00,CUST0127,PROD013,3,216.46,0,Product 13,Grocery,649.38
73,INV02645,06-01-2022 18:00,CUST0407,PROD001,2,293.39,5,Product 1,Toys,557.441
74,INV04602,06-01-2022 20:00,CUST0123,PROD041,2,485.06,15,Product 41,Electronics,824.602
75,INV03387,06-01-2022 22:00,CUST0268,PROD027,3,249.83,0,Product 27,Toys,749.49
76,INV01873,06-01-2022 23:00,CUST0235,PROD023,3,351.81,20,Product 23,Toys,844.344
77,INV02073,06-01-2022 23:00,CUST0432,PROD017,2,359.77,15,Product 17,Grocery,611.609
78,INV00636,07-01-2022 00:00,CUST0430,PROD022,2,377.63,0,Product 22,Electronics,755.26
79,INV02292,07-01-2022 01:00,CUST0103,PROD028,2,426.77,0,Product 28,Electronics,853.54
80,INV02580,07-01-2022 01:00,CUST0337,PROD002,1,361.92,10,Product 2,Sports,325.728
81,INV02993,07-01-2022 04:00,CUST0230,PROD008,1,288.47,0,Product 8,Home & Kitchen,288.47
82,INV00477,07-01-2022 04:00,CUST0278,PROD004,2,99.53,10,Product 4,Sports,179.154
83,INV00248,07-01-2022 07:00,CUST0110,PROD025,4,288.45,5,Product 25,Grocery,1096.11
84,INV01843,07-01-2022 07:00,CUST0263,PROD010,2,111.29,20,Product 10,Sports,178.064
85,INV01223,07-01-2022 09:00,CUST0436,PROD001,4,61.77,10,Product 1,Toys,222.372
86,INV04415,07-01-2022 09:00,CUST0285,PROD005,3,218.25,0,Product 5,Sports,654.75
87,INV02092,07-01-2022 10:00,CUST0263,PROD004,3,141.42,0,Product 4,Sports,424.26
88,INV03982,07-01-2022 10:00,CUST0216,PROD043,1,486.61,0,Product 43,Sports,486.61
89,INV01546,07-01-2022 12:00,CUST0467,PROD021,3,201.85,0,Product 21,Sports,605.55
90,INV04323,07-01-2022 18:00,CUST0106,PROD005,3,193.54,20,Product 5,Sports,464.496
91,INV02408,07-01-2022 20:00,CUST0428,PROD008,4,174.65,15,Product 8,Home & Kitchen,593.81
92,INV00024,07-01-2022 21:00,CUST0096,PROD009,4,400.76,10,Product 9,Home & Kitchen,1442.736
93,INV01392,08-01-2022 03:00,CUST0200,PROD050,4,295.43,5,Product 50,Toys,1122.634
94,INV04839,08-01-2022 04:00,CUST0218,PROD003,4,493.23,0,Product 3,Home & Kitchen,1972.92
95,INV04873,08-01-2022 07:00,CUST0253,PROD044,3,67.74,20,Product 44,Home & Kitchen,162.576
96,INV02175,08-01-2022 10:00,CUST0178,PROD046,1,292.26,10,Product 46,Electronics,263.034
97,INV03208,08-01-2022 10:00,CUST0184,PROD049,1,357.6,0,Product 49,Electronics,357.6
98,INV03212,08-01-2022 11:00,CUST0391,PROD013,1,419.4,10,Product 13,Grocery,377.46
99,INV00240,08-01-2022 15:00,CUST0214,PROD020,2,178.16,0,Product 20,Toys,356.32
100,INV00056,08-01-2022 19:00,CUST0300,PROD015,2,144.64,0,Product 15,Clothing,289.28
101,INV01744,08-01-2022 22:00,CUST0381,PROD006,3,354.41,0,Product 6,Clothing,1063.23
102,INV02662,08-01-2022 23:00,CUST0135,PROD023,3,463.82,5,Product 23,Toys,1321.887
103,INV03782,09-01-2022 00:00,CUST0063,PROD018,4,83.56,15,Product 18,Grocery,284.104
104,INV01480,09-01-2022 01:00,CUST0430,PROD033,3,321.8,15,Product 33,Toys,820.59
105,INV03299,09-01-2022 02:00,CUST0063,PROD015,3,48.75,0,Product 15,Clothing,146.25
106,INV04824,09-01-2022 06:00,CUST0309,PROD014,4,367.09,5,Product 14,Sports,1394.942
107,INV01412,09-01-2022 11:00,CUST0391,PROD032,2,133.32,15,Product 32,Clothing,226.644
108,INV02939,09-01-2022 15:00,CUST0103,PROD046,1,177.1,5,Product 46,Electronics,168.245
109,INV01909,09-01-2022 17:00,CUST0402,PROD026,4,218.39,10,Product 26,Sports,786.204
110,INV01885,09-01-2022 17:00,CUST0182,PROD031,4,144.8,5,Product 31,Home & Kitchen,550.24
111,INV01654,09-01-2022 19:00,CUST0488,PROD016,1,477.29,5,Product 16,Toys,453.4255
112,INV02530,09-01-2022 20:00,CUST0044,PROD006,2,218.78,5,Product 6,Clothing,415.682
113,INV04727,09-01-2022 23:00,CUST0337,PROD006,1,499.37,0,Product 6,Clothing,499.37
114,INV03812,10-01-2022 04:00,CUST0058,PROD034,3,480.84,15,Product 34,Toys,1226.142
115,INV04870,10-01-2022 07:00,CUST0356,PROD019,2,200.82,20,Product 19,Clothing,321.312
116,INV00720,10-01-2022 07:00,CUST0185,PROD021,3,17.61,10,Product 21,Sports,47.547
117,INV03389,10-01-2022 08:00,CUST0353,PROD028,3,51.33,20,Product 28,Electronics,123.192
118,INV03259,10-01-2022 08:00,CUST0393,PROD021,2,148.9,0,Product 21,Sports,297.8
119,INV01657,10-01-2022 09:00,CUST0342,PROD014,4,310.76,0,Product 14,Sports,1243.04
120,INV04157,10-01-2022 11:00,CUST0220,PROD030,4,37.8,0,Product 30,Home & Kitchen,151.2
121,INV03440,10-01-2022 12:00,CUST0497,PROD025,2,237.81,20,Product 25,Grocery,380.496
122,INV00347,10-01-2022 13:00,CUST0088,PROD049,4,457.05,20,Product 49,Electronics,1462.56
123,INV04232,10-01-2022 15:00,CUST0222,PROD033,1,160.44,20,Product 33,Toys,128.352
